Result Date,Result Time,GHBubbler(ft),GHProbe(ft),WaterTemp(C),RainInterval(in),RainDayPST(in),RainWY(in),Battery,Streamflow(cfs)
12/29/2022,5:45:00 AM,-0.129,-0.132,9.8,0,0.113,6.761,12.96,0
12/29/2022,6:00:00 AM,-0.109,-0.111,9.8,0,0.113,6.761,12.92,0
12/29/2022,6:15:00 AM,-0.09,-0.091,9.8,0,0.113,6.761,12.92,0
12/29/2022,6:30:00 AM,-0.088,-0.09,9.8,0,0.113,6.761,12.93,0
12/29/2022,6:45:00 AM,-0.111,-0.114,9.8,0,0.113,6.761,12.92,0
12/29/2022,7:00:00 AM,-0.15,-0.155,9.7,0,0.113,6.761,12.91,0
12/29/2022,7:15:00 AM,-0.208,-0.2,9.6,0,0.113,6.761,12.92,0
12/29/2022,7:30:00 AM,-0.205,-0.211,9.5,0,0.113,6.761,12.91,0
12/29/2022,7:45:00 AM,-0.205,-0.207,9.4,0.009,0.122,6.77,12.94,0
12/29/2022,8:00:00 AM,-0.205,-0.208,9.3,0,0.122,6.77,12.91,0
12/29/2022,8:15:00 AM,-0.205,-0.207,9.2,0,0.122,6.77,12.91,0
12/29/2022,8:30:00 AM,-0.205,-0.208,9.2,0,0.122,6.77,12.92,0
12/29/2022,8:45:00 AM,-0.205,-0.206,9.3,0.009,0.132,6.78,12.98,0
12/29/2022,9:00:00 AM,-0.205,-0.207,9.4,0,0.132,6.78,13.01,0
12/29/2022,9:15:00 AM,-0.205,-0.207,9.5,0.009,0.141,6.789,12.95,0
12/29/2022,9:30:00 AM,-0.205,-0.208,9.5,0.009,0.151,6.799,13,0
12/29/2022,9:45:00 AM,-0.205,-0.207,9.7,0,0.151,6.799,12.98,0
12/29/2022,10:00:00 AM,-0.127,-0.127,10.2,0.009,0.16,6.808,13.01,0
12/29/2022,10:15:00 AM,0.009,0.006,10.3,0.009,0.169,6.818,13.12,0
12/29/2022,10:30:00 AM,0.136,0.134,10.4,0,0.169,6.818,13.06,0
12/29/2022,10:45:00 AM,0.256,0.255,10.5,0.009,0.179,6.827,13.13,0.3
12/29/2022,11:00:00 AM,0.355,0.351,10.5,0,0.179,6.827,13.12,0.9
12/29/2022,11:15:00 AM,0.427,0.425,10.5,0,0.179,6.827,13.32,1.7
12/29/2022,11:30:00 AM,0.475,0.471,10.6,0.009,0.188,6.837,13.25,2.5
12/29/2022,11:45:00 AM,0.5,0.499,10.6,0,0.188,6.837,13.23,3
12/29/2022,12:00:00 PM,0.51,0.506,10.6,0,0.188,6.837,13.23,3.2
12/29/2022,12:15:00 PM,0.505,0.5,10.6,0.009,0.198,6.846,13.22,3
12/29/2022,12:30:00 PM,0.491,0.487,10.7,0,0.198,6.846,13.21,2.8
12/29/2022,12:45:00 PM,0.47,0.466,10.7,0,0.198,6.846,13.14,2.4
12/29/2022,1:00:00 PM,0.445,0.443,10.7,0,0.198,6.846,13.12,2
12/29/2022,1:15:00 PM,0.422,0.417,10.7,0,0.198,6.846,13.18,1.6
12/29/2022,1:30:00 PM,0.392,0.388,10.8,0,0.198,6.846,13.22,1.2
12/29/2022,1:45:00 PM,0.362,0.357,10.8,0.009,0.207,6.855,13.3,0.9
12/29/2022,2:00:00 PM,0.33,0.324,10.9,0,0.207,6.855,13.27,0.6
12/29/2022,2:15:00 PM,0.295,0.29,10.9,0,0.207,6.855,13.15,0.4
12/29/2022,2:30:00 PM,0.256,0.252,11,0,0.207,6.855,13.13,0.3
12/29/2022,2:45:00 PM,0.214,0.212,11,0,0.207,6.855,13.14,0.1
12/29/2022,3:00:00 PM,0.173,0.169,11,0,0.207,6.855,13.09,0.1
12/29/2022,3:15:00 PM,0.127,0.122,11,0,0.207,6.855,13.14,0
12/29/2022,3:30:00 PM,0.081,0.076,11.1,0,0.207,6.855,13.06,0
12/29/2022,3:45:00 PM,0.03,0.025,11.1,0,0.207,6.855,13.06,0
12/29/2022,4:00:00 PM,-0.023,-0.026,11.1,0,0.207,6.855,13.07,0
12/29/2022,4:15:00 PM,-0.083,-0.087,11,0,0.207,6.855,13.06,0
12/29/2022,4:30:00 PM,-0.145,-0.149,11,0,0.207,6.855,12.94,0
12/29/2022,4:45:00 PM,-0.205,-0.215,10.8,0,0.207,6.855,12.94,0
12/29/2022,5:00:00 PM,-0.208,-0.207,10.7,0,0.207,6.855,12.99,0
12/29/2022,5:15:00 PM,-0.205,-0.208,10.6,0.009,0.217,6.865,12.92,0
12/29/2022,5:30:00 PM,-0.208,-0.208,10.5,0.018,0.236,6.884,12.91,0
12/29/2022,5:45:00 PM,-0.205,-0.209,10.4,0.009,0.245,6.893,12.91,0
12/29/2022,6:00:00 PM,-0.208,-0.208,10.3,0.018,0.264,6.912,12.89,0
12/29/2022,6:15:00 PM,-0.205,-0.207,10.3,0.018,0.283,6.931,12.89,0
12/29/2022,6:30:00 PM,-0.208,-0.209,10.3,0,0.283,6.931,12.89,0
12/29/2022,6:45:00 PM,-0.205,-0.207,10.2,0.009,0.292,6.94,12.89,0
12/29/2022,7:00:00 PM,-0.205,-0.205,10.2,0,0.292,6.94,12.92,0
12/29/2022,7:15:00 PM,-0.205,-0.207,10.2,0.009,0.302,6.95,12.92,0
12/29/2022,7:30:00 PM,-0.208,-0.208,10.3,0,0.302,6.95,12.87,0
12/29/2022,7:45:00 PM,-0.039,-0.042,10.7,0,0.302,6.95,12.91,0
12/29/2022,8:00:00 PM,0.078,0.076,10.9,0,0.302,6.95,12.97,0
12/29/2022,8:15:00 PM,0.145,0.142,10.9,0,0.302,6.95,12.88,0
12/29/2022,8:30:00 PM,0.189,0.185,11,0,0.302,6.95,12.87,0.1
12/29/2022,8:45:00 PM,0.214,0.211,10.9,0.009,0.311,6.959,12.87,0.1
12/29/2022,9:00:00 PM,0.228,0.225,10.9,0,0.311,6.959,12.89,0.2
12/29/2022,9:15:00 PM,0.24,0.235,10.9,0.018,0.33,6.978,12.87,0.2
12/29/2022,9:30:00 PM,0.263,0.26,10.9,0,0.33,6.978,12.89,0.3
12/29/2022,9:45:00 PM,0.314,0.31,10.8,0.009,0.339,6.988,12.87,0.6
12/29/2022,10:00:00 PM,0.369,0.367,10.8,0,0.339,6.988,12.85,1
12/29/2022,10:15:00 PM,0.475,0.476,10.8,0,0.339,6.988,12.91,2.5
12/29/2022,10:30:00 PM,0.586,0.583,10.8,0,0.339,6.988,12.88,5.2
12/29/2022,10:45:00 PM,0.632,0.628,10.8,0,0.339,6.988,12.88,6.8
12/29/2022,11:00:00 PM,0.637,0.631,10.9,0,0.339,6.988,12.85,6.9
12/29/2022,11:15:00 PM,0.625,0.621,11,0,0.339,6.988,12.88,6.5
12/29/2022,11:30:00 PM,0.611,0.607,11,0,0.339,6.988,12.87,6
12/29/2022,11:45:00 PM,0.602,0.597,11.1,0,0.339,6.988,12.84,5.7
12/30/2022,12:00:00 AM,0.595,0.593,11.1,0,0.339,6.988,12.91,5.5
12/30/2022,12:15:00 AM,0.593,0.589,11.1,0,0,6.988,12.87,5.4
12/30/2022,12:30:00 AM,0.588,0.586,11.1,0,0,6.988,12.89,5.3
12/30/2022,12:45:00 AM,0.581,0.578,11.1,0,0,6.988,12.88,5.1
12/30/2022,1:00:00 AM,0.572,0.569,11.1,0.009,0.009,6.997,12.86,4.8
12/30/2022,1:15:00 AM,0.56,0.56,11.1,0,0.009,6.997,12.89,4.5
12/30/2022,1:30:00 AM,0.547,0.544,11.1,0.009,0.018,7.006,12.89,4.1
12/30/2022,1:45:00 AM,0.533,0.531,11.1,0.009,0.028,7.016,12.86,3.8
12/30/2022,2:00:00 AM,0.526,0.522,11.1,0,0.028,7.016,12.88,3.5
12/30/2022,2:15:00 AM,0.521,0.52,11.1,0.009,0.037,7.025,12.85,3.5
12/30/2022,2:30:00 AM,0.526,0.525,11.2,0,0.037,7.025,12.92,3.6
12/30/2022,2:45:00 AM,0.544,0.543,11.2,0.009,0.047,7.035,12.88,4.1
12/30/2022,3:00:00 AM,0.577,0.574,11.2,0,0.047,7.035,12.85,4.9
12/30/2022,3:15:00 AM,0.607,0.606,11.2,0,0.047,7.035,12.85,6
12/30/2022,3:30:00 AM,0.639,0.635,11.2,0,0.047,7.035,12.87,7
12/30/2022,3:45:00 AM,0.667,0.663,11.2,0.009,0.056,7.044,12.85,8.2
12/30/2022,4:00:00 AM,0.683,0.68,11.2,0,0.056,7.044,12.92,8.9
12/30/2022,4:15:00 AM,0.687,0.685,11.2,0.009,0.066,7.054,12.86,9.1
12/30/2022,4:30:00 AM,0.692,0.687,11.2,0,0.066,7.054,12.9,9.1
12/30/2022,4:45:00 AM,0.694,0.693,11.2,0,0.066,7.054,12.92,9.4
12/30/2022,5:00:00 AM,0.701,0.698,11.2,0.018,0.084,7.073,12.86,9.6
12/30/2022,5:15:00 AM,0.703,0.702,11.3,0.009,0.094,7.082,12.89,9.8
12/30/2022,5:30:00 AM,0.71,0.707,11.3,0,0.094,7.082,12.85,10
12/30/2022,5:45:00 AM,0.722,0.72,11.3,0,0.094,7.082,12.91,10.5
12/30/2022,6:00:00 AM,0.74,0.738,11.4,0,0.094,7.082,12.85,11.3
12/30/2022,6:15:00 AM,0.759,0.756,11.4,0,0.094,7.082,12.87,12.2
12/30/2022,6:30:00 AM,0.757,0.753,11.5,0.009,0.103,7.091,12.87,12
12/30/2022,6:45:00 AM,0.745,0.739,11.6,0,0.103,7.091,12.87,11.4
12/30/2022,7:00:00 AM,0.736,0.734,11.6,0,0.103,7.091,12.89,11.1
12/30/2022,7:15:00 AM,0.738,0.733,11.6,0,0.103,7.091,12.88,11.1
12/30/2022,7:30:00 AM,0.743,0.739,11.6,0,0.103,7.091,12.88,11.4
12/30/2022,7:45:00 AM,0.743,0.74,11.6,0,0.103,7.091,12.9,11.4
12/30/2022,8:00:00 AM,0.74,0.737,11.6,0.009,0.113,7.101,12.83,11.3
12/30/2022,8:15:00 AM,0.745,0.743,11.7,0,0.113,7.101,12.92,11.5
12/30/2022,8:30:00 AM,0.75,0.747,11.7,0,0.113,7.101,12.87,11.7
12/30/2022,8:45:00 AM,0.747,0.741,11.7,0,0.113,7.101,12.9,11.4
12/30/2022,9:00:00 AM,0.738,0.734,11.8,0,0.113,7.101,12.98,11.1
12/30/2022,9:15:00 AM,0.731,0.727,11.8,0,0.113,7.101,13.1,10.8
12/30/2022,9:30:00 AM,0.727,0.723,11.9,0.009,0.122,7.11,13.12,10.6
12/30/2022,9:45:00 AM,0.727,0.725,11.9,0,0.122,7.11,13.07,10.7
12/30/2022,10:00:00 AM,0.733,0.734,12,0,0.122,7.11,13.11,11.1
12/30/2022,10:15:00 AM,0.736,0.734,12,0.009,0.132,7.12,13.29,11.1
12/30/2022,10:30:00 AM,0.733,0.73,12.1,0,0.132,7.12,13.16,11
12/30/2022,10:45:00 AM,0.731,0.729,12.1,0.009,0.141,7.129,13.23,10.9
12/30/2022,11:00:00 AM,0.733,0.731,12.2,0,0.141,7.129,13.49,11
12/30/2022,11:15:00 AM,0.74,0.737,12.3,0.009,0.151,7.139,13.26,11.3
12/30/2022,11:30:00 AM,0.75,0.747,12.4,0,0.151,7.139,13.21,11.7
12/30/2022,11:45:00 AM,0.77,0.768,12.4,0.018,0.169,7.158,13.17,12.7
12/30/2022,12:00:00 PM,0.791,0.786,12.5,0,0.169,7.158,13.2,13.6
12/30/2022,12:15:00 PM,0.814,0.81,12.5,0.009,0.179,7.167,13.25,14.9
12/30/2022,12:30:00 PM,0.83,0.828,12.6,0,0.179,7.167,13.23,15.9
12/30/2022,12:45:00 PM,0.837,0.832,12.7,0.009,0.188,7.176,13.23,16.1
12/30/2022,1:00:00 PM,0.846,0.843,12.7,0.009,0.198,7.186,13.18,16.8
12/30/2022,1:15:00 PM,0.858,0.854,12.7,0.009,0.207,7.195,13.21,17.4
12/30/2022,1:30:00 PM,0.867,0.866,12.8,0,0.207,7.195,13.13,18.2
12/30/2022,1:45:00 PM,0.872,0.869,12.8,0.018,0.226,7.214,13.13,18.4
12/30/2022,2:00:00 PM,0.867,0.863,12.8,0.009,0.236,7.224,13.17,18
12/30/2022,2:15:00 PM,0.858,0.856,12.9,0,0.236,7.224,13.13,17.6
12/30/2022,2:30:00 PM,0.851,0.848,12.9,0.009,0.245,7.233,13.13,17.1
12/30/2022,2:45:00 PM,0.856,0.853,13,0,0.245,7.233,13.1,17.4
12/30/2022,3:00:00 PM,0.872,0.868,13,0,0.245,7.233,13.01,18.3
12/30/2022,3:15:00 PM,0.876,0.873,13,0,0.245,7.233,13.06,18.6
12/30/2022,3:30:00 PM,0.87,0.87,13,0,0.245,7.233,12.99,18.4
12/30/2022,3:45:00 PM,0.86,0.858,13,0,0.245,7.233,12.96,17.7
12/30/2022,4:00:00 PM,0.851,0.847,13,0,0.245,7.233,12.99,17
12/30/2022,4:15:00 PM,0.842,0.837,13,0.009,0.254,7.243,12.94,16.4
12/30/2022,4:30:00 PM,0.84,0.837,13,0.009,0.264,7.252,12.95,16.4
12/30/2022,4:45:00 PM,0.844,0.841,13,0.009,0.273,7.261,12.94,16.7
12/30/2022,5:00:00 PM,0.86,0.856,13,0.018,0.292,7.28,12.92,17.6
12/30/2022,5:15:00 PM,0.874,0.871,13,0,0.292,7.28,12.92,18.5
12/30/2022,5:30:00 PM,0.9,0.896,13,0.009,0.302,7.29,12.89,20.1
12/30/2022,5:45:00 PM,0.918,0.917,13,0.009,0.311,7.299,12.93,21.5
12/30/2022,6:00:00 PM,0.92,0.917,13.1,0.009,0.32,7.309,12.89,21.5
12/30/2022,6:15:00 PM,0.934,0.929,13.1,0.009,0.33,7.318,12.91,22.4
12/30/2022,6:30:00 PM,0.962,0.959,13,0,0.33,7.318,12.88,24.6
12/30/2022,6:45:00 PM,1.001,0.999,13.1,0.009,0.339,7.327,12.88,27.8
12/30/2022,7:00:00 PM,0.996,0.992,13.1,0,0.339,7.327,12.88,27.2
12/30/2022,7:15:00 PM,0.983,0.978,13.2,0,0.339,7.327,12.87,26.1
12/30/2022,7:30:00 PM,0.976,0.972,13.2,0,0.339,7.327,12.88,25.6
12/30/2022,7:45:00 PM,0.971,0.969,13.2,0,0.339,7.327,12.91,25.4
12/30/2022,8:00:00 PM,0.964,0.959,13.2,0,0.339,7.327,12.85,24.6
12/30/2022,8:15:00 PM,0.953,0.952,13.3,0,0.339,7.327,12.92,24.1
12/30/2022,8:30:00 PM,0.941,0.937,13.3,0,0.339,7.327,12.85,23
12/30/2022,8:45:00 PM,0.943,0.94,13.3,0,0.339,7.327,12.85,23.2
12/30/2022,9:00:00 PM,0.948,0.945,13.3,0,0.339,7.327,12.87,23.6
12/30/2022,9:15:00 PM,0.955,0.954,13.2,0,0.339,7.327,12.92,24.2
12/30/2022,9:30:00 PM,0.957,0.954,13.2,0.009,0.349,7.337,12.85,24.2
12/30/2022,9:45:00 PM,0.962,0.958,13.2,0.028,0.377,7.365,12.84,24.5
12/30/2022,10:00:00 PM,0.973,0.97,13.2,0.009,0.387,7.375,12.9,25.5
12/30/2022,10:15:00 PM,1.006,1.003,13.3,0.009,0.396,7.384,12.83,28.1
12/30/2022,10:30:00 PM,1.052,1.049,13.3,0,0.396,7.384,12.88,32.1
12/30/2022,10:45:00 PM,1.079,1.077,13.3,0.018,0.415,7.403,12.83,34.7
12/30/2022,11:00:00 PM,1.084,1.082,13.4,0,0.415,7.403,12.83,35.2
12/30/2022,11:15:00 PM,1.082,1.077,13.4,0.009,0.424,7.412,12.83,34.7
12/30/2022,11:30:00 PM,1.077,1.076,13.4,0,0.424,7.412,12.9,34.6
12/30/2022,11:45:00 PM,1.079,1.075,13.5,0,0.424,7.412,12.83,34.5
12/31/2022,12:00:00 AM,1.07,1.069,13.5,0.009,0.434,7.422,12.85,34
12/31/2022,12:15:00 AM,1.054,1.05,13.5,0.009,0.009,7.431,12.83,32.2
12/31/2022,12:30:00 AM,1.043,1.038,13.5,0,0.009,7.431,12.85,31.1
12/31/2022,12:45:00 AM,1.04,1.036,13.4,0.009,0.018,7.441,12.83,30.9
12/31/2022,1:00:00 AM,1.049,1.045,13.4,0.009,0.028,7.45,12.88,31.8
12/31/2022,1:15:00 AM,1.061,1.059,13.4,0.018,0.047,7.469,12.87,33
12/31/2022,1:30:00 AM,1.077,1.074,13.4,0,0.047,7.469,12.85,34.4
12/31/2022,1:45:00 AM,1.107,1.105,13.4,0.009,0.056,7.479,12.89,37.5
12/31/2022,2:00:00 AM,1.139,1.139,13.4,0.009,0.066,7.488,12.83,41
12/31/2022,2:15:00 AM,1.186,1.184,13.4,0,0.066,7.488,12.83,46
12/31/2022,2:30:00 AM,1.22,1.216,13.4,0.009,0.075,7.497,12.84,49.8
12/31/2022,2:45:00 AM,1.246,1.242,13.4,0.037,0.113,7.535,12.86,53
12/31/2022,3:00:00 AM,1.266,1.263,13.4,0.009,0.122,7.545,12.85,55.7
12/31/2022,3:15:00 AM,1.287,1.285,13.4,0,0.122,7.545,12.85,58.6
12/31/2022,3:30:00 AM,1.31,1.305,13.4,0.009,0.132,7.554,12.82,61.4
12/31/2022,3:45:00 AM,1.333,1.33,13.4,0.009,0.141,7.563,12.85,64.9
12/31/2022,4:00:00 AM,1.34,1.338,13.4,0,0.141,7.563,12.83,66.1
12/31/2022,4:15:00 AM,1.342,1.338,13.5,0.009,0.151,7.573,12.82,66.1
12/31/2022,4:30:00 AM,1.356,1.351,13.5,0.075,0.226,7.648,12.83,68
12/31/2022,4:45:00 AM,1.402,1.401,13.4,0.037,0.264,7.686,12.84,75.8
12/31/2022,5:00:00 AM,1.462,1.465,13.4,0.028,0.292,7.715,12.9,86.5
12/31/2022,5:15:00 AM,1.522,1.526,13.5,0.084,0.377,7.799,12.82,97.6
12/31/2022,5:30:00 AM,1.568,1.569,13.5,0.122,0.5,7.922,12.83,106
12/31/2022,5:45:00 AM,1.702,1.702,13.6,0.141,0.642,8.064,12.83,135
12/31/2022,6:00:00 AM,1.884,1.88,13.5,0.132,0.774,8.196,12.83,181.3
12/31/2022,6:15:00 AM,2.034,2.043,13.5,0.103,0.878,8.3,12.82,232.1
12/31/2022,6:30:00 AM,2.129,2.133,13.5,0.094,0.972,8.395,12.82,263.7
12/31/2022,6:45:00 AM,2.173,2.16,13.5,0.084,1.057,8.48,12.88,273.7
12/31/2022,7:00:00 AM,2.244,2.241,13.5,0.084,1.142,8.564,12.82,305.3
12/31/2022,7:15:00 AM,2.316,2.315,13.5,0.103,1.246,8.668,12.83,336.2
12/31/2022,7:30:00 AM,2.433,2.423,13.5,0.066,1.312,8.734,12.81,380.9
12/31/2022,7:45:00 AM,2.507,2.519,13.5,0.056,1.369,8.791,12.82,420.9
12/31/2022,8:00:00 AM,2.636,2.655,13.5,0.075,1.444,8.867,12.85,481.8
12/31/2022,8:15:00 AM,2.775,2.775,13.5,0.075,1.52,8.942,12.82,539.7
12/31/2022,8:30:00 AM,2.971,2.97,13.4,0.037,1.558,8.98,12.83,642.6
12/31/2022,8:45:00 AM,3.368,3.393,13.4,0.047,1.605,9.027,12.88,904.7
12/31/2022,9:00:00 AM,3.698,3.714,13.3,0.037,1.643,9.065,12.85,1141.2
12/31/2022,9:15:00 AM,4.002,3.972,13.3,0.028,1.671,9.093,12.88,1356.1
12/31/2022,9:30:00 AM,4.168,4.148,13.3,0.056,1.727,9.15,12.91,-1
12/31/2022,9:45:00 AM,4.249,4.29,13.3,0.037,1.765,9.188,12.91,-1
12/31/2022,10:00:00 AM,4.47,4.485,13.3,0.037,1.803,9.225,12.9,-1
12/31/2022,10:15:00 AM,4.609,4.609,13.2,0.056,1.86,9.282,12.83,-1
12/31/2022,10:30:00 AM,4.756,4.752,13.2,0.047,1.907,9.329,12.88,-1
12/31/2022,10:45:00 AM,4.754,4.803,13.2,0.047,1.954,9.376,12.92,-1
12/31/2022,11:00:00 AM,4.763,4.803,13.2,0.056,2.011,9.433,12.83,-1
12/31/2022,11:15:00 AM,4.807,4.827,13.2,0.056,2.067,9.49,12.85,-1
12/31/2022,11:30:00 AM,4.823,4.8,13.2,0.037,2.105,9.527,12.88,-1
12/31/2022,11:45:00 AM,4.839,4.891,13.2,0.009,2.115,9.537,12.89,-1
12/31/2022,12:00:00 PM,4.872,4.938,13.2,0,2.115,9.537,12.89,-1
12/31/2022,12:15:00 PM,4.975,5.01,13.2,0.018,2.133,9.556,12.89,-1
12/31/2022,12:30:00 PM,5.07,5.128,13.2,0.028,2.162,9.584,12.85,-1
12/31/2022,12:45:00 PM,5.204,5.186,13.2,0.047,2.209,9.631,12.83,-1
12/31/2022,1:00:00 PM,5.347,5.341,13.2,0.084,2.294,9.716,12.82,-1
12/31/2022,1:15:00 PM,5.504,5.515,13.2,0.103,2.398,9.82,12.83,-1
12/31/2022,1:30:00 PM,5.663,5.67,13.2,0.103,2.502,9.924,12.84,-1
12/31/2022,1:45:00 PM,5.797,5.77,13.1,0.18,2.682,10.104,12.82,-1
12/31/2022,2:00:00 PM,5.963,5.954,13.1,0.103,2.786,10.208,12.83,-1
12/31/2022,2:15:00 PM,5.99,5.948,13,0.113,2.899,10.321,12.87,-1
12/31/2022,2:30:00 PM,6.092,6.068,13,0.141,3.041,10.463,12.87,-1
12/31/2022,2:45:00 PM,6.214,6.226,12.9,0.122,3.164,10.586,12.85,-1
12/31/2022,3:00:00 PM,6.466,6.398,12.9,0.094,3.258,10.68,12.84,-1
12/31/2022,3:15:00 PM,6.715,6.73,12.8,0.056,3.315,10.737,12.82,-1
12/31/2022,3:30:00 PM,6.936,6.972,12.7,0.037,3.353,10.775,12.88,-1
12/31/2022,3:45:00 PM,7.047,7.043,12.6,0.028,3.381,10.803,12.86,-1
12/31/2022,4:00:00 PM,7.091,6.92,12.5,0.028,3.409,10.832,12.83,-1
12/31/2022,4:15:00 PM,6.925,6.89,12.4,0.028,3.437,10.86,12.79,-1
12/31/2022,4:30:00 PM,6.632,6.633,12.3,0.009,3.447,10.869,12.8,-1
12/31/2022,4:45:00 PM,6.371,6.354,12.2,0.018,3.466,10.888,12.79,-1
12/31/2022,5:00:00 PM,6.143,6.13,12.1,0.028,3.494,10.916,12.79,-1
12/31/2022,5:15:00 PM,5.79,5.809,12.1,0.028,3.522,10.945,12.79,-1
12/31/2022,5:30:00 PM,5.571,5.59,12,0.018,3.541,10.964,12.79,-1
12/31/2022,5:45:00 PM,5.356,5.305,12,0.028,3.57,10.992,12.84,-1
12/31/2022,6:00:00 PM,5.146,5.104,11.9,0.018,3.589,11.011,12.78,-1
12/31/2022,6:15:00 PM,4.915,4.92,11.9,0,3.589,11.011,12.81,-1
12/31/2022,6:30:00 PM,4.726,4.716,11.9,0,3.589,11.011,12.78,-1
12/31/2022,6:45:00 PM,4.583,4.572,11.8,0.009,3.598,11.02,12.79,-1
12/31/2022,7:00:00 PM,4.413,4.431,11.8,0.009,3.607,11.03,12.84,-1
12/31/2022,7:15:00 PM,4.281,4.252,11.7,0,3.607,11.03,12.78,-1
12/31/2022,7:30:00 PM,4.168,4.157,11.7,0,3.607,11.03,12.8,-1
12/31/2022,7:45:00 PM,4.071,4.053,11.7,0.009,3.617,11.039,12.83,1428.3
12/31/2022,8:00:00 PM,3.949,3.952,11.6,0,3.617,11.039,12.77,1338.6
12/31/2022,8:15:00 PM,3.896,3.875,11.6,0,3.617,11.039,12.79,1272.6
12/31/2022,8:30:00 PM,3.815,3.806,11.5,0,3.617,11.039,12.82,1215.2
12/31/2022,8:45:00 PM,3.755,3.776,11.5,0,3.617,11.039,12.79,1190.8
12/31/2022,9:00:00 PM,3.672,3.673,11.4,0,3.617,11.039,12.81,1109.1
12/31/2022,9:15:00 PM,3.566,3.563,11.4,0.009,3.626,11.049,12.8,1025.8
12/31/2022,9:30:00 PM,3.481,3.499,11.3,0,3.626,11.049,12.78,979.1
12/31/2022,9:45:00 PM,3.379,3.381,11.3,0,3.626,11.049,12.78,896.5
12/31/2022,10:00:00 PM,3.266,3.244,11.2,0,3.626,11.049,12.82,806.1
12/31/2022,10:15:00 PM,3.16,3.158,11.2,0,3.626,11.049,12.77,752.3
12/31/2022,10:30:00 PM,3.068,3.072,11.2,0,3.626,11.049,12.77,700.8
12/31/2022,10:45:00 PM,2.98,2.987,11.1,0,3.626,11.049,12.78,652.1
12/31/2022,11:00:00 PM,2.893,2.895,11.1,0,3.626,11.049,12.8,601.7
12/31/2022,11:15:00 PM,2.826,2.814,11.1,0.009,3.636,11.058,12.77,559.4
12/31/2022,11:30:00 PM,2.743,2.733,11.1,0,3.636,11.058,12.78,519
12/31/2022,11:45:00 PM,2.685,2.682,11.1,0,3.636,11.058,12.77,494.5
01/01/2023,12:00:00 AM,2.623,2.608,11,0,3.636,11.058,12.82,460.2
01/01/2023,12:15:00 AM,2.556,2.557,11,0,0,11.058,12.77,437.4
01/01/2023,12:30:00 AM,2.5,2.497,11,0,0,11.058,12.8,411.5
01/01/2023,12:45:00 AM,2.447,2.447,11,0,0,11.058,12.8,390.7
01/01/2023,1:00:00 AM,2.39,2.394,11,0,0,11.058,12.82,369.3
01/01/2023,1:15:00 AM,2.341,2.341,11,0,0,11.058,12.76,347.6
01/01/2023,1:30:00 AM,2.309,2.305,10.9,0,0,11.058,12.76,331.9
01/01/2023,1:45:00 AM,2.26,2.266,10.9,0,0,11.058,12.82,315.6
01/01/2023,2:00:00 AM,2.235,2.23,10.9,0,0,11.058,12.76,300.9
01/01/2023,2:15:00 AM,2.201,2.186,10.9,0,0,11.058,12.76,283.6
01/01/2023,2:30:00 AM,2.157,2.164,10.9,0,0,11.058,12.82,275.3
