Reach,River Sta,Profile,Q Total (cfs),Q Channel (cfs),Q Left (cfs),Q Right (cfs),Min Ch El (ft),W.S. Elev (ft),E.G. Slope (ft/ft),Area (sq ft),Area Channel (sq ft),Area Left (sq ft),Area Right (sq ft),Hydr Radius (ft),Hydr Radius C (ft),Hydr Radius L (ft),Hydr Radius R (ft)
Gleason to I-580,8800,14 Jan 2023,3524,2382.81,680.13,461.05,343.19,353.42,0.004589,601.71,300.98,180.66,120.07,3.65,6.22,2.56,2.63
Gleason to I-580,8800,Q25 BKF,2048,1652.33,230.97,164.7,343.19,352.05,0.004754,390.29,239.08,89.77,61.43,2.55,4.94,1.41,1.5
,,,,,,,,,,,,,,,,,
Gleason to I-580,8200,Q2 BKF,650,646.12,2.53,1.35,341.61,346.19,0.006505,107.44,101.66,3.47,2.3,1.34,2.32,0.18,0.13
Gleason to I-580,8200,Q5 Channel,1200,1101.44,56.41,42.15,341.61,346.99,0.007528,186.39,135.95,30.65,19.79,1.58,2.99,0.64,0.82
Gleason to I-580,8200,Q100 BKF,4300,2890.44,942.42,467.15,341.61,349.72,0.006541,558.91,253,205.51,100.4,3.7,5.56,2.88,2.94
Gleason to I-580,8200,Q100 AC,5200,3273.14,1297.99,628.87,341.61,350.63,0.00519,695.36,292.18,271.14,132.05,4.45,6.42,3.65,3.62
Gleason to I-580,8200,13 Feb 2019,561,560.94,0.05,0.01,341.61,345.95,0.00629,92.27,92.02,0.2,0.05,1.95,2.23,0.04,0.04
Gleason to I-580,8200,5 Jan 1982,2280,1806.26,301.13,172.6,341.61,348.12,0.007356,331.3,184.2,96.86,50.24,2.35,4.05,1.47,1.71
Gleason to I-580,8200,11 Nov 2022,105.2,105.2,,,341.61,344.09,0.005301,30.66,30.66,,,1.07,1.07,1.72,1.78
Gleason to I-580,8200,31 Dec 2022,3346.06,2431.4,601.1,313.56,341.61,348.85,0.007856,434.08,215.87,145.74,72.47,2.99,4.74,2.14,2.3
Gleason to I-580,8200,14 Jan 2023,3524,2532.12,653.59,338.29,341.61,348.96,0.007918,449.92,220.66,153.29,75.96,3.08,4.85,2.23,2.38
Gleason to I-580,8200,Q25 BKF,2048,1670.82,235.39,141.79,341.61,347.9,0.007476,301.8,174.94,82.84,44.03,2.16,3.84,1.27,1.53
,,,,,,,,,,,,,,,,,
Gleason to I-580,7600,Q2 BKF,650,649.98,,0.02,339.39,343.21,0.004146,115.66,115.56,,0.1,1.97,2.11,0,0.02
Gleason to I-580,7600,Q5 Channel,1200,1144.59,12.16,43.25,339.39,344.34,0.003312,219.15,177.28,13.74,28.13,1.77,3.07,0.39,0.9
Gleason to I-580,7600,Q100 BKF,4300,3127.41,611.03,561.57,339.39,348.81,0.001307,866.61,429.7,232.67,204.24,5.33,7.39,4.05,4.34
Gleason to I-580,7600,Q100 AC,5200,3659.28,814.93,725.79,339.39,349.82,0.001177,1032.25,487.16,292.03,253.05,6.09,8.38,4.8,5
Gleason to I-580,7600,13 Feb 2019,561,561,,,339.39,342.99,0.004186,104.21,104.21,,,1.96,1.96,1.24,3.78
Gleason to I-580,7600,5 Jan 1982,2280,1891.33,182.34,206.33,339.39,346.11,0.002055,459.28,277.4,91.56,90.31,3.17,4.77,1.91,2.34
Gleason to I-580,7600,11 Nov 2022,105.2,105.2,,,339.39,341.38,0.003942,33.5,33.5,,,0.92,0.92,1.72,1.78
Gleason to I-580,7600,31 Dec 2022,3346.06,2553.75,401.98,390.33,339.39,347.62,0.001535,681.45,362.56,167.54,151.35,4.4,6.24,3.14,3.5
Gleason to I-580,7600,14 Jan 2023,3524,2661.21,440.71,422.08,339.39,347.86,0.001477,717.66,375.94,180.16,161.56,4.59,6.47,3.32,3.67
Gleason to I-580,7600,Q25 BKF,2048,1741.74,138.34,167.91,339.39,345.75,0.002241,408.82,257.24,74.74,76.84,2.87,4.42,1.6,2.05
,,,,,,,,,,,,,,,,,
Gleason to I-580,6800,Q2 BKF,650,650,,,337,339.7,0.00302,76.17,76.17,,,2.16,2.16,0,0
Gleason to I-580,6800,Q5 Channel,1200,1200,,,337,340.9,0.002755,120.11,120.11,,,2.93,2.93,0.18,0.13
Gleason to I-580,6800,Q100 BKF,4300,4300,,,337,345.05,0.002288,319.63,319.63,,,5.27,5.27,0.83,0.22
Gleason to I-580,6800,Q100 AC,5200,5200,,,337,345.92,0.002225,370.92,370.92,,,5.73,5.73,0.72,3.24
Gleason to I-580,6800,13 Feb 2019,561,561,,,337,339.47,0.003098,68.32,68.32,,,2,2,1.24,3.78
Gleason to I-580,6800,5 Jan 1982,2280,2280,,,337,342.67,0.002485,196.22,196.22,,,3.98,3.98,0.04,0.04
Gleason to I-580,6800,11 Nov 2022,105.2,105.2,,,337,337.85,0.004206,20.62,20.62,,,0.78,0.78,1.72,1.78
Gleason to I-580,6800,31 Dec 2022,3346.06,3346.06,,,337,344.02,0.002369,263.1,263.1,,,4.72,4.72,1.72,1.78
Gleason to I-580,6800,14 Jan 2023,3524,3524,,,337,344.2,0.002374,272.96,272.96,,,4.82,4.82,0.12,2.66
Gleason to I-580,6800,Q25 BKF,2048,2048,,,337,342.34,0.002523,180.78,180.78,,,3.79,3.79,0.24,2.77
