PRISM Time Series Data
Location:  Lat: 37.7083   Lon: -121.8750   Elev: 394ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2023-02
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1899-09,0.00,52.2,68.3,84.4,46.6,2.58,28.75
1899-10,3.52,48.9,59.9,70.9,44.6,1.85,15.52
1899-11,3.05,47.5,55.4,63.4,45.6,1.25,8.91
1899-12,1.97,39.1,46.9,54.8,37.8,1.00,6.30
1900-01,2.71,42.4,48.8,55.1,41.5,1.03,5.29
1900-02,0.17,40.9,51.5,62.0,39.5,1.07,10.22
1900-03,1.61,46.4,57.1,67.7,43.7,1.52,12.97
1900-04,1.29,44.2,55.7,67.1,41.9,1.49,13.30
1900-05,0.91,50.1,63.7,77.3,46.4,1.88,20.55
1900-06,0.00,55.3,68.2,81.2,49.8,2.80,23.72
1900-07,0.00,56.4,71.8,87.3,50.2,3.18,31.01
1900-08,0.00,55.9,69.6,83.2,51.1,2.67,25.75
1900-09,0.04,54.2,67.8,81.3,48.5,2.88,24.82
1900-10,1.07,50.3,61.7,73.1,45.6,2.09,17.22
1900-11,5.53,47.4,56.7,66.0,45.9,1.16,11.03
1900-12,0.98,40.8,48.7,56.7,39.9,0.99,6.81
1901-01,3.71,40.1,47.2,54.3,39.7,0.91,5.45
1901-02,4.45,42.2,50.7,59.2,41.9,0.88,7.37
1901-03,0.57,43.3,54.3,65.3,41.6,1.38,11.90
1901-04,2.11,41.9,54.2,66.4,40.0,1.28,13.39
1901-05,1.06,47.9,59.3,70.7,45.2,1.50,14.90
1901-06,0.00,50.6,66.1,81.5,46.6,2.10,25.48
1901-07,0.00,52.6,68.9,85.3,47.7,2.41,29.42
1901-08,0.00,55.2,69.6,84.1,51.0,2.41,27.40
1901-09,0.56,51.2,65.3,79.4,46.2,2.40,23.36
1901-10,1.08,51.4,64.5,77.5,48.2,1.87,20.46
1901-11,2.11,46.7,56.6,66.4,45.3,1.23,11.69
1901-12,0.86,37.6,48.4,59.3,36.7,0.95,9.26
1902-01,1.07,35.1,44.4,53.7,34.2,0.90,6.54
1902-02,4.98,44.7,51.9,59.1,44.0,0.96,6.78
1902-03,2.87,39.8,50.3,60.8,37.9,1.21,9.83
1902-04,1.25,44.3,55.2,66.2,42.0,1.43,12.51
1902-05,0.79,46.7,58.4,70.0,43.7,1.52,15.42
1902-06,0.00,51.4,67.3,83.3,45.6,2.23,27.60
1902-07,0.00,53.1,70.3,87.6,48.0,2.21,32.75
1902-08,0.00,54.7,70.0,85.4,50.4,2.31,28.87
1902-09,0.00,54.2,69.0,83.8,48.0,3.03,27.48
1902-10,1.09,49.8,61.2,72.7,45.5,2.08,17.11
1902-11,2.06,42.1,51.8,61.6,39.9,1.21,9.63
1902-12,1.80,38.3,47.6,56.8,36.9,0.99,7.77
1903-01,3.36,37.6,47.0,56.3,36.8,0.87,7.57
1903-02,1.37,34.1,46.3,58.5,32.2,1.02,10.01
1903-03,5.75,42.0,52.6,63.1,40.6,1.13,10.56
1903-04,0.85,41.1,55.6,70.1,39.7,1.15,16.44
1903-05,0.02,47.0,62.9,78.9,43.5,1.70,23.84
1903-06,0.00,51.6,68.4,85.2,47.0,2.15,30.07
1903-07,0.00,51.2,68.3,85.4,46.7,2.29,30.23
1903-08,0.00,51.2,69.6,88.0,48.2,1.69,33.59
1903-09,0.00,51.2,69.0,86.7,46.0,2.52,32.97
1903-10,0.08,48.6,65.9,83.1,44.6,1.93,28.18
1903-11,3.48,45.0,55.3,65.5,44.3,0.86,11.17
1903-12,0.85,37.3,48.8,60.2,36.3,0.92,9.97
1904-01,0.98,35.0,47.0,59.0,33.6,0.90,10.04
1904-02,5.51,41.3,50.0,58.8,40.0,1.02,7.76
1904-03,5.62,43.3,53.0,62.6,42.3,1.09,9.75
1904-04,1.65,43.4,56.8,70.3,42.6,1.11,15.70
1904-05,0.20,47.7,64.1,80.4,45.2,1.40,24.89
1904-06,0.00,51.8,69.3,86.8,47.5,2.11,33.35
1904-07,0.00,52.5,69.7,86.9,48.1,2.23,31.81
1904-08,0.25,52.3,69.7,87.1,49.6,1.62,31.59
1904-09,2.67,54.9,71.0,87.0,49.5,2.88,31.85
1904-10,1.74,48.9,63.0,77.0,46.5,1.45,20.84
1904-11,1.14,43.8,55.2,66.5,41.1,1.38,12.63
1904-12,1.57,37.3,47.2,57.1,37.2,0.76,7.82
1905-01,2.96,39.8,49.1,58.5,40.0,0.75,7.76
1905-02,2.91,40.3,51.7,63.2,40.4,0.82,10.80
1905-03,3.79,44.6,56.2,67.8,44.0,1.03,13.02
1905-04,1.07,45.6,58.4,71.1,43.3,1.38,15.63
1905-05,2.40,44.9,58.4,72.0,43.2,1.12,16.95
1905-06,0.00,49.5,65.4,81.4,45.9,1.75,25.59
1905-07,0.00,53.3,71.1,88.8,48.9,2.23,32.87
1905-08,0.00,51.5,69.9,88.3,48.7,1.56,33.43
1905-09,0.00,51.8,69.2,86.6,45.9,2.61,32.76
1905-10,0.00,44.0,62.0,80.0,39.0,1.78,26.32
1905-11,1.55,40.3,54.0,67.7,37.0,1.34,15.12
1905-12,1.26,34.7,46.5,58.3,32.6,1.08,9.80
1906-01,5.44,37.9,48.9,60.0,37.8,0.81,9.54
1906-02,3.21,44.5,54.2,64.0,44.5,0.81,9.94
1906-03,5.68,42.1,52.7,63.2,42.3,0.82,10.05
1906-04,1.01,44.9,56.7,68.6,42.2,1.53,14.17
1906-05,1.92,48.1,60.0,71.9,45.2,1.77,16.22
1906-06,0.57,50.8,66.0,81.2,47.0,1.93,24.81
1906-07,0.00,55.9,75.5,95.2,51.1,2.79,43.05
1906-08,0.00,55.3,73.0,90.7,50.7,2.44,36.58
1906-09,0.16,51.5,68.9,86.3,46.9,2.27,31.20
1906-10,0.00,46.6,64.4,82.3,44.4,1.78,27.81
1906-11,1.42,40.5,53.2,65.9,38.5,1.21,13.62
1906-12,6.94,40.5,47.8,55.1,39.1,1.00,6.07
1907-01,4.33,38.6,46.5,54.4,37.5,0.93,6.47
1907-02,3.00,46.2,55.3,64.4,46.6,0.80,9.63
1907-03,8.10,41.5,50.7,59.9,43.0,0.90,7.53
1907-04,0.36,47.2,59.7,72.1,44.9,1.42,16.41
1907-05,0.11,47.5,61.0,74.5,44.8,1.32,18.85
1907-06,0.78,50.0,65.1,80.2,46.5,1.74,24.23
1907-07,0.00,52.8,69.5,86.1,49.2,1.92,30.02
1907-08,0.00,53.7,70.0,86.4,49.7,2.14,30.86
1907-09,0.17,52.3,65.9,79.4,46.6,2.77,23.21
1907-10,1.15,49.3,63.0,76.6,46.2,1.65,20.45
1907-11,0.06,40.6,55.1,69.6,38.4,1.27,16.59
1907-12,3.89,41.4,49.4,57.4,39.9,1.05,7.31
1908-01,3.24,39.9,48.0,56.0,39.2,0.94,6.61
1908-02,2.18,39.4,48.4,57.5,37.7,1.09,7.86
1908-03,1.05,39.9,54.3,68.8,36.8,1.43,16.00
1908-04,0.36,43.4,59.1,74.8,41.5,1.22,19.94
1908-05,0.63,43.6,58.9,74.2,41.5,1.08,19.68
1908-06,0.00,47.7,64.6,81.5,44.0,1.72,26.85
1908-07,0.00,54.0,71.4,88.8,48.7,2.58,33.24
1908-08,0.00,53.0,71.2,89.4,49.2,2.06,35.28
1908-09,0.07,51.0,69.1,87.3,46.2,2.28,33.64
1908-10,0.41,44.9,60.0,75.0,40.2,1.76,20.92
1908-11,1.16,40.7,54.1,67.5,39.0,1.14,14.50
1908-12,1.74,35.1,44.3,53.5,34.3,0.88,6.76
1909-01,9.94,43.9,50.9,57.8,44.1,0.76,5.86
1909-02,5.74,41.2,50.3,59.5,40.7,0.91,8.12
1909-03,3.17,39.9,50.5,61.2,38.2,1.16,10.11
1909-04,0.00,43.5,57.2,70.9,40.8,1.39,16.54
1909-05,0.00,44.0,59.8,75.6,41.6,1.21,21.03
1909-06,0.02,50.3,66.1,81.9,46.1,2.02,26.51
1909-07,0.00,50.5,69.1,87.7,46.4,2.05,33.45
1909-08,0.00,51.5,70.3,89.1,47.8,2.04,35.32
1909-09,0.71,52.6,69.1,85.7,47.5,2.61,30.96
1909-10,0.86,48.1,62.2,76.3,44.2,1.81,21.25
1909-11,2.42,42.6,53.7,64.7,40.7,1.19,11.96
1909-12,5.26,36.1,45.5,54.9,35.4,0.88,7.12
1910-01,4.08,35.3,44.5,53.8,33.8,0.96,6.97
1910-02,1.46,39.0,49.1,59.2,37.7,0.98,8.98
1910-03,3.16,44.1,55.8,67.6,42.1,1.26,13.43
1910-04,0.32,45.5,58.3,71.1,43.0,1.53,16.09
1910-05,0.01,48.9,64.5,80.1,45.0,1.80,24.35
1910-06,0.00,48.1,63.9,79.6,44.1,1.84,24.60
1910-07,0.00,52.4,71.1,89.9,47.6,2.35,36.23
1910-08,0.00,49.8,67.6,85.4,46.8,1.54,30.09
1910-09,0.08,48.2,66.5,84.9,44.1,2.01,31.12
1910-10,0.45,47.8,63.9,80.0,43.6,1.79,25.20
1910-11,0.30,40.5,53.6,66.8,39.7,1.02,13.81
1910-12,1.41,38.6,49.8,61.1,37.7,0.96,10.15
1911-01,12.15,39.0,48.7,58.4,38.7,0.80,8.18
1911-02,2.82,36.6,47.5,58.5,34.9,1.04,9.26
1911-03,5.24,43.4,54.4,65.3,42.9,0.98,11.47
1911-04,1.00,43.3,55.4,67.5,40.5,1.45,14.07
1911-05,0.27,44.6,58.7,72.8,42.1,1.20,18.06
1911-06,0.04,49.3,65.0,80.6,45.6,1.76,25.08
1911-07,0.00,53.0,71.9,90.9,48.2,2.40,37.14
1911-08,0.00,50.2,67.8,85.3,47.5,1.51,30.09
1911-09,0.00,48.7,65.4,82.2,44.8,2.03,27.56
1911-10,0.57,46.7,61.8,76.9,40.9,2.10,22.50
1911-11,0.62,39.2,54.3,69.4,35.0,1.50,17.18
1911-12,2.25,36.7,48.4,60.1,34.4,1.10,10.49
1912-01,2.60,41.0,50.5,60.0,39.7,0.96,8.91
1912-02,0.31,40.4,53.0,65.6,39.5,0.96,12.89
1912-03,2.94,40.8,51.7,62.5,38.6,1.21,10.92
1912-04,1.68,42.0,52.7,63.5,39.1,1.41,11.43
1912-05,1.23,46.8,60.2,73.6,44.5,1.27,17.77
1912-06,0.70,52.9,68.1,83.4,48.2,2.35,27.30
1912-07,0.00,52.6,69.6,86.7,47.4,2.52,31.87
1912-08,0.00,52.0,69.8,87.6,48.0,2.21,32.98
1912-09,0.90,52.4,69.0,85.5,46.6,2.70,30.97
1912-10,0.61,43.9,60.6,77.4,38.4,1.93,23.79
1912-11,1.37,39.7,53.5,67.3,38.0,1.06,15.08
1912-12,1.20,36.0,47.1,58.2,33.3,1.15,9.68
1913-01,3.28,34.1,43.9,53.7,33.0,0.92,7.03
1913-02,0.40,37.9,50.9,63.9,36.4,1.05,12.57
1913-03,1.95,37.6,52.3,67.0,35.4,1.25,15.10
1913-04,0.67,43.0,57.3,71.7,40.0,1.45,17.81
1913-05,0.65,47.3,63.2,79.1,43.6,1.67,24.03
1913-06,0.07,51.0,65.9,80.8,47.0,2.10,24.60
1913-07,0.21,55.3,71.4,87.4,49.8,2.77,31.39
1913-08,0.02,57.6,74.6,91.6,51.6,2.98,37.08
1913-09,0.00,53.4,72.0,90.6,47.4,3.00,37.15
1913-10,0.00,46.5,65.1,83.7,41.4,2.13,29.62
1913-11,4.28,45.5,53.8,62.2,44.3,1.08,8.86
1913-12,2.91,38.7,48.3,58.0,36.7,1.09,8.66
1914-01,9.64,42.4,49.3,56.2,41.3,0.94,6.14
1914-02,3.34,39.8,51.5,63.3,38.1,1.05,11.70
1914-03,0.91,44.3,57.7,71.1,41.9,1.46,16.68
1914-04,1.01,46.5,59.1,71.7,44.0,1.45,16.39
1914-05,0.54,49.3,63.1,76.9,45.4,1.76,21.23
1914-06,0.35,50.7,66.2,81.8,46.2,2.04,26.15
1914-07,0.00,54.3,69.1,83.9,48.6,2.92,27.61
1914-08,0.00,53.9,71.5,89.1,49.6,2.30,33.63
1914-09,0.00,49.9,65.6,81.2,44.9,2.26,25.89
1914-10,0.85,47.2,61.1,75.0,43.8,1.68,19.77
1914-11,0.48,38.9,55.9,72.8,35.8,1.41,19.89
1914-12,5.28,35.9,46.0,56.1,34.3,0.97,8.12
1915-01,4.35,37.7,47.4,57.2,37.1,0.85,7.90
1915-02,6.64,41.8,51.1,60.3,41.6,0.88,8.47
1915-03,1.84,43.0,56.8,70.7,41.3,1.24,16.12
1915-04,1.02,45.3,55.7,66.1,43.8,1.28,11.74
1915-05,3.25,47.3,59.6,72.0,44.4,1.55,16.65
1915-06,0.00,48.1,64.8,81.4,44.4,1.62,26.05
1915-07,0.00,53.1,71.4,89.8,48.4,2.35,35.84
1915-08,0.00,54.9,73.5,92.1,49.7,2.64,38.78
1915-09,0.00,49.9,66.6,83.2,44.6,2.37,28.26
1915-10,0.00,45.1,62.0,78.9,39.3,2.05,25.11
1915-11,0.93,39.6,52.0,64.4,37.8,1.11,12.51
1915-12,5.15,38.9,49.7,60.6,37.6,1.01,9.84
1916-01,11.68,37.4,45.5,53.6,36.4,0.91,6.12
1916-02,2.45,42.2,53.9,65.6,42.6,0.64,11.82
1916-03,1.44,42.1,55.6,69.1,40.0,1.27,15.46
1916-04,0.11,42.4,57.4,72.5,40.6,1.13,17.79
1916-05,0.08,43.5,60.5,77.5,41.3,1.11,23.47
1916-06,0.00,48.5,63.9,79.2,44.6,1.63,23.59
1916-07,0.00,51.4,72.1,92.9,46.5,2.21,41.38
1916-08,0.12,51.9,68.2,84.4,48.5,1.77,28.26
1916-09,0.51,50.6,67.0,83.4,45.5,2.34,28.16
1916-10,1.09,44.3,57.8,71.2,41.2,1.47,17.19
1916-11,1.01,37.9,52.3,66.7,33.6,1.42,15.33
1916-12,3.72,34.6,45.4,56.2,32.8,0.99,8.58
1917-01,1.54,32.5,44.8,57.1,31.1,0.92,9.42
1917-02,3.86,38.1,49.2,60.3,36.3,1.10,10.23
1917-03,1.07,34.0,49.5,65.0,32.3,1.15,14.31
1917-04,0.40,41.5,57.3,73.2,39.3,1.24,19.43
1917-05,0.20,42.8,57.8,72.8,41.4,0.82,18.56
1917-06,0.00,47.8,67.9,88.0,45.2,1.59,34.19
1917-07,0.00,56.3,73.7,91.1,50.0,3.36,35.99
1917-08,0.00,52.6,67.1,81.6,49.8,1.60,24.20
1917-09,0.07,53.0,69.8,86.6,46.8,2.88,31.80
1917-10,0.00,48.8,64.0,79.2,43.1,2.24,23.95
1917-11,0.44,42.0,56.3,70.6,39.9,1.25,16.94
1917-12,0.82,39.4,52.3,65.2,38.4,0.93,12.85
1918-01,0.74,36.8,49.5,62.3,37.2,0.71,11.04
1918-02,3.49,39.4,49.1,58.9,37.9,1.06,8.80
1918-03,3.46,42.0,54.9,67.7,40.5,1.22,14.01
1918-04,0.81,41.7,58.4,75.0,40.6,1.09,20.85
1918-05,0.00,44.4,59.7,74.9,41.5,1.37,20.34
1918-06,0.00,51.8,69.4,87.0,47.8,1.75,31.27
1918-07,0.00,53.0,69.0,85.1,47.8,2.52,29.17
1918-08,0.00,54.4,70.9,87.5,49.4,2.49,31.87
1918-09,4.48,55.4,68.5,81.7,50.2,2.75,24.64
1918-10,0.16,51.9,65.6,79.3,45.6,2.68,23.66
1918-11,2.30,40.1,52.6,65.0,38.8,1.08,12.65
1918-12,1.51,33.6,46.1,58.5,32.5,0.92,9.89
1919-01,1.28,35.1,48.0,60.9,34.0,0.91,11.16
1919-02,6.57,39.9,49.8,59.7,38.6,1.00,8.91
1919-03,2.89,39.6,50.4,61.1,37.7,1.18,10.11
1919-04,0.17,42.2,56.0,69.9,40.8,1.14,15.65
1919-05,0.00,46.8,62.8,78.9,44.1,1.32,23.68
1919-06,0.00,49.7,65.0,80.2,45.5,2.19,24.25
1919-07,0.00,52.6,68.2,83.8,47.1,2.62,27.64
1919-08,0.00,53.4,69.4,85.4,48.7,2.42,29.26
1919-09,0.35,52.3,66.4,80.4,45.7,3.00,24.57
1919-10,0.23,43.8,58.5,73.3,38.0,1.92,19.43
1919-11,0.10,37.4,51.3,65.2,34.0,1.37,13.91
1919-12,2.99,36.8,45.6,54.4,35.5,0.94,6.68
1920-01,0.37,36.9,48.4,59.9,36.3,0.88,9.66
1920-02,0.73,37.0,49.2,61.3,36.4,0.92,10.64
1920-03,4.27,39.0,49.6,60.2,37.2,1.13,9.65
1920-04,1.40,41.5,55.1,68.6,39.3,1.27,15.38
1920-05,0.00,45.8,61.0,76.1,42.2,1.53,21.62
1920-06,0.12,52.0,66.6,81.3,46.9,2.26,24.84
1920-07,0.00,51.6,67.6,83.7,47.1,2.18,27.47
1920-08,0.00,55.3,72.4,89.4,49.7,2.76,34.36
1920-09,0.05,53.0,65.8,78.5,46.2,3.17,22.14
1920-10,1.92,50.5,60.1,69.7,42.6,2.65,14.92
1920-11,2.06,43.3,52.2,61.1,40.9,1.24,9.15
1920-12,4.85,38.9,46.9,55.0,38.2,0.88,6.32
1921-01,4.62,38.3,46.4,54.5,37.4,0.89,6.30
1921-02,1.37,43.3,51.7,60.0,38.6,1.62,9.15
1921-03,1.30,42.9,53.1,63.3,41.4,1.17,10.55
1921-04,0.35,42.2,55.1,68.0,39.9,1.33,14.61
1921-05,1.03,49.8,59.2,68.6,43.5,2.67,13.83
1921-06,0.00,53.0,67.5,81.9,48.1,2.33,25.10
1921-07,0.00,53.9,71.6,89.4,48.2,2.70,34.57
1921-08,0.00,52.6,69.0,85.5,48.9,1.92,29.42
1921-09,0.20,51.1,67.3,83.6,46.5,2.28,27.85
1921-10,0.23,49.3,61.9,74.6,45.6,1.79,18.31
1921-11,1.33,41.5,54.4,67.4,39.7,1.11,14.20
1921-12,5.23,39.6,49.3,58.9,39.4,0.85,8.29
1922-01,2.37,31.3,41.3,51.3,31.4,0.76,6.34
1922-02,5.71,37.5,46.5,55.5,37.4,0.85,6.78
1922-03,2.20,38.9,49.5,60.2,37.9,1.07,9.58
1922-04,0.69,38.7,52.9,67.0,37.7,1.01,14.56
1922-05,0.68,46.0,61.7,77.3,43.6,1.25,21.99
1922-06,0.07,52.0,66.7,81.4,47.6,2.11,24.65
1922-07,0.00,54.5,71.5,88.4,49.3,2.57,32.76
1922-08,0.00,52.8,69.0,85.2,48.9,2.01,29.07
1922-09,0.00,53.6,71.8,90.0,47.3,2.99,36.20
1922-10,1.25,48.1,59.8,71.5,44.3,1.78,16.15
1922-11,3.35,39.2,50.2,61.1,37.2,1.15,10.36
1922-12,6.38,39.3,47.4,55.6,39.0,0.84,6.34
1923-01,2.51,35.4,43.9,52.4,35.0,0.82,5.88
1923-02,0.71,35.7,47.6,59.4,35.0,0.89,9.84
1923-03,0.04,40.1,54.2,68.3,37.5,1.37,15.34
1923-04,2.98,43.7,55.1,66.4,42.2,1.20,12.47
1923-05,0.02,46.5,59.6,72.7,43.3,1.56,17.29
1923-06,0.18,49.2,61.2,73.1,45.6,1.81,16.83
1923-07,0.00,52.7,68.2,83.6,47.5,2.52,27.25
1923-08,0.00,54.5,69.6,84.6,49.8,2.47,27.85
1923-09,0.76,54.3,69.7,85.1,47.6,3.26,29.48
1923-10,0.28,47.7,60.6,73.6,43.0,1.98,18.31
1923-11,0.35,42.9,56.6,70.2,40.7,1.21,16.26
1923-12,1.11,35.7,46.0,56.4,34.5,0.94,8.24
1924-01,1.77,33.9,45.9,57.9,33.1,0.84,9.44
1924-02,1.34,41.9,53.4,64.8,40.9,0.99,11.69
1924-03,1.45,38.9,51.2,63.6,37.3,1.16,11.90
1924-04,0.23,44.0,58.3,72.5,41.5,1.40,17.84
1924-05,0.08,48.7,63.7,78.6,45.0,1.77,22.49
1924-06,0.00,51.0,67.0,83.0,46.3,2.24,27.49
1924-07,0.00,51.8,67.6,83.4,47.0,2.36,27.33
1924-08,0.00,53.3,69.1,84.9,48.9,2.38,29.08
1924-09,0.00,50.6,67.2,83.7,44.6,2.62,28.91
1924-10,1.40,47.1,58.3,69.4,42.8,1.83,14.84
1924-11,1.30,40.9,52.2,63.6,38.5,1.26,11.71
1924-12,2.54,36.2,43.9,51.6,34.2,1.05,5.60
1925-01,1.25,37.6,47.0,56.5,36.5,0.96,7.61
1925-02,5.20,43.7,52.0,60.3,42.4,1.05,8.04
1925-03,1.37,39.7,52.3,64.9,38.2,1.17,12.61
1925-04,2.31,45.3,55.6,65.8,43.2,1.38,11.66
1925-05,2.00,49.5,60.9,72.3,46.4,1.72,15.94
1925-06,0.07,51.3,67.2,83.1,47.4,1.99,26.80
1925-07,0.02,55.4,71.0,86.6,49.9,2.77,30.22
1925-08,0.00,53.1,67.5,82.0,49.4,2.03,24.91
1925-09,0.18,51.8,63.7,75.5,46.3,2.64,19.10
1925-10,0.11,47.4,60.0,72.7,43.6,1.81,17.14
1925-11,1.24,40.9,52.0,63.2,39.5,1.09,11.09
1925-12,1.62,37.3,47.1,56.8,37.4,0.78,7.66
1926-01,2.34,33.6,43.2,52.8,33.6,0.76,6.44
1926-02,5.62,42.5,51.7,60.9,42.0,0.91,8.52
1926-03,0.12,44.2,56.9,69.6,42.9,1.21,14.70
1926-04,3.81,49.9,60.7,71.4,48.7,1.24,14.24
1926-05,0.20,48.9,62.5,76.0,45.4,1.67,19.40
1926-06,0.00,52.2,68.0,83.8,47.3,2.37,28.01
1926-07,0.00,54.2,71.8,89.4,48.3,2.86,34.40
1926-08,0.00,53.8,69.6,85.4,49.2,2.33,29.17
1926-09,0.00,49.5,64.0,78.5,44.4,2.39,22.78
1926-10,1.26,49.8,62.8,75.7,45.5,2.03,19.48
1926-11,4.67,47.7,58.2,68.8,45.5,1.35,13.24
1926-12,0.98,37.9,46.4,54.9,36.7,0.97,6.68
1927-01,2.27,39.6,47.8,56.1,38.6,0.96,6.87
1927-02,4.92,43.1,51.1,59.1,42.5,0.90,7.36
1927-03,1.51,41.1,51.1,61.1,39.5,1.18,9.61
1927-04,2.07,42.3,54.7,67.1,40.8,1.19,13.44
1927-05,0.19,45.7,59.8,73.8,43.1,1.40,18.18
1927-06,0.27,51.7,66.1,80.5,47.7,2.00,23.55
1927-07,0.00,53.0,70.1,87.2,47.9,2.57,32.09
1927-08,0.00,53.3,68.2,83.0,49.3,2.20,26.52
1927-09,0.00,50.9,64.8,78.7,45.5,2.47,22.97
1927-10,0.98,47.6,62.3,77.0,43.0,1.87,21.67
1927-11,2.70,45.7,54.8,63.9,44.3,1.14,9.93
1927-12,2.79,36.9,46.7,56.6,36.5,0.84,7.73
1928-01,1.64,37.7,46.4,55.0,37.9,0.73,6.36
1928-02,1.22,40.0,50.3,60.7,39.2,0.94,9.44
1928-03,4.12,47.9,57.2,66.5,45.1,1.53,11.51
1928-04,1.28,43.7,56.4,69.2,41.8,1.31,14.89
1928-05,0.34,50.4,65.1,79.7,46.1,2.09,23.96
1928-06,0.00,52.1,68.2,84.3,46.7,2.40,28.76
1928-07,0.00,53.4,70.0,86.5,48.1,2.70,31.22
1928-08,0.00,52.5,69.6,86.6,48.7,2.11,31.35
1928-09,0.00,52.8,69.4,86.0,45.0,3.50,32.28
1928-10,0.02,49.0,61.6,74.1,42.8,2.46,18.60
